letter,weight_I,relative_weight_I,weight_II,relative_weight_II,weight_III,relative_weight_III,weight_IV,relative_weight_IV,weight,relative_weight,center_y,center_x,relative_center_y,relative_center_x,inertia_y,inertia_x,relative_inertia_y,relative_inertia_x
A,45,0.15151515151515152,63,0.21212121212121213,48,0.16161616161616163,150,0.5050505050505051,306,0.25757575757575757,19.372549019607842,19.712418300653596,0.5741421568627451,0.534640522875817,15518.692810457513,23977.52941176468,0.16573425616704593,0.25607169690893117
B,147,0.6176470588235294,118,0.4957983193277311,143,0.6008403361344538,125,0.5252100840336135,533,0.5598739495798319,16.525328330206378,12.866791744840524,0.47046449485473874,0.43951080536446385,37339.542213883644,51748.908067542165,0.13143607184327322,0.18215738049534536
C,110,0.40441176470588236,31,0.11397058823529412,116,0.4264705882352941,13,0.04779411764705882,270,0.24816176470588236,15.796296296296296,9.574074074074074,0.4483726150392817,0.2765830346475508,17776.01851851851,25347.796296296292,0.24384113194126902,0.3477063963826652
Ç,144,0.4186046511627907,31,0.09011627906976744,84,0.2441860465116279,41,0.11918604651162791,300,0.2180232558139535,18.073333333333334,10.386666666666667,0.40650793650793654,0.3027956989247312,19613.146666666697,39494.38666666667,0.21792385185185217,0.43882651851851856
D,128,0.4866920152091255,119,0.4524714828897338,131,0.49809885931558934,119,0.4524714828897338,497,0.4715370018975332,16.58752515090543,14.382293762575452,0.47234924699713426,0.44607645875251506,49193.36418511057,46228.442655935716,0.19915616105125955,0.18715286753088234
E,145,0.6092436974789915,52,0.2184873949579832,146,0.6134453781512605,48,0.20168067226890757,391,0.4107142857142857,16.58312020460358,9.539641943734015,0.4722157637758661,0.31628303495311166,20135.135549872135,44645.0485933503,0.1317046300709188,0.29202483365068455
F,142,0.5966386554621849,50,0.21008403361344538,144,0.6050420168067226,14,0.058823529411764705,350,0.36764705882352944,15.394285714285715,9.948571428571428,0.43619047619047624,0.3314285714285714,12337.074285714272,37281.58857142851,0.10071081049562672,0.30433949854227355
G,109,0.3562091503267974,45,0.14705882352941177,114,0.37254901960784315,114,0.37254901960784315,382,0.31209150326797386,17.87958115183246,15.761780104712042,0.5115024591464382,0.4217651458489155,51883.32198952883,35548.4607329843,0.355550300084488,0.24360941814221307
Ğ,109,0.3562091503267974,45,0.14705882352941177,114,0.37254901960784315,114,0.37254901960784315,382,0.31209150326797386,17.87958115183246,15.761780104712042,0.5115024591464382,0.4217651458489155,51883.32198952883,35548.4607329843,0.355550300084488,0.24360941814221307
H,154,0.47678018575851394,140,0.43343653250773995,148,0.4582043343653251,135,0.4179566563467492,577,0.44659442724458204,16.51993067590988,18.258232235701907,0.47030092957302666,0.46643870907302454,63582.52339688044,63250.020797227044,0.19097922799419828,0.1899805087487934
I,74,0.48366013071895425,74,0.48366013071895425,74,0.48366013071895425,74,0.48366013071895425,296,0.48366013071895425,16.5,8.5,0.4696969696969697,0.4411764705882353,2394.0,32586.0,0.027323776479181886,0.37191837107377645
İ,74,0.48366013071895425,74,0.48366013071895425,74,0.48366013071895425,74,0.48366013071895425,296,0.48366013071895425,16.5,8.5,0.4696969696969697,0.4411764705882353,2394.0,32586.0,0.027323776479181886,0.37191837107377645
J,6,0.029411764705882353,141,0.6911764705882353,51,0.25,107,0.5245098039215687,305,0.3737745098039216,16.567213114754097,13.331147540983606,0.47173373075012415,0.5361368496079829,7639.554098360653,30752.87213114754,0.08212366673862567,0.3305871769002692
K,166,0.5015105740181269,55,0.1661631419939577,168,0.5075528700906344,152,0.459214501510574,541,0.4079939668174962,18.164510166358596,15.192236598890943,0.5201366717078363,0.3734799104971301,47192.00739371533,57402.35859519388,0.16124042009462633,0.19612601636318683
L,145,0.5513307984790875,3,0.011406844106463879,142,0.5399239543726235,37,0.14068441064638784,327,0.31024667931688804,17.837920489296636,10.45565749235474,0.5102400148271707,0.31518858307849135,12543.107033639144,38338.409785932774,0.11730313604016819,0.35854080544971684
M,161,0.40350877192982454,166,0.41604010025062654,129,0.3233082706766917,163,0.40852130325814534,619,0.38735919899874843,15.798061389337642,25.525040387722132,0.4484261027072013,0.5331530519070029,98960.36187399019,61465.75767366711,0.2582735765748346,0.16041757296193274
N,133,0.4478114478114478,76,0.2558922558922559,35,0.11784511784511785,107,0.3602693602693603,351,0.2949579831932773,14.094017094017094,17.005698005698004,0.3967883967883968,0.47075582369700014,26215.988603988564,32159.897435897423,0.21279038809740639,0.2610360097393481
O,115,0.3758169934640523,115,0.3758169934640523,112,0.3660130718954248,112,0.3660130718954248,454,0.3709150326797386,16.370044052863435,17.795154185022028,0.4657589106928314,0.4798615481434865,66323.94933920709,34349.83259911894,0.3217797227736182,0.16665291679985514
Ö,115,0.3758169934640523,115,0.3758169934640523,112,0.3660130718954248,112,0.3660130718954248,454,0.3709150326797386,16.370044052863435,17.795154185022028,0.4657589106928314,0.4798615481434865,66323.94933920709,34349.83259911894,0.3217797227736182,0.16665291679985514
P,140,0.5882352941176471,116,0.48739495798319327,146,0.6134453781512605,7,0.029411764705882353,409,0.42962184873949577,14.452322738386307,11.753056234718827,0.40764614358746387,0.3982613420266232,20274.05867970658,38251.320293398494,0.1211976176595464,0.2286650623406035
