,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,"('A', 1.0)","('V', 0.9782700946056619)","('Y', 0.9406942247911524)","('O', 0.982852833092791)","('G', 0.9872817717783949)","('C', 0.9640041786025201)","('K', 0.9699779778822164)","('S', 0.9732405288632576)","('Z', 0.9289284922199432)","('R', 0.948898550918131)","('M', 0.9612313902252874)","('Ç', 0.9616555786616205)","('Ş', 0.9706777581835018)","('D', 0.9529695749933701)","('Ğ', 0.9918347238430356)","('Ö', 0.9855911067547856)","('B', 0.9344952322960288)","('P', 0.9039726853412624)","('N', 0.9339300574030711)","('E', 0.9117514827469809)","('H', 0.9764998342959512)","('Ü', 0.9852045582678058)","('J', 0.8968263614768144)","('T', 0.8955904869029615)","('F', 0.8813032209905989)","('L', 0.8694621192588767)","('İ', 0.33932053549576746)","('I', 0.0)"
1,"('B', 1.0)","('E', 0.9705786174584441)","('D', 0.9853259078834801)","('R', 0.9854878134633904)","('K', 0.9601860233430953)","('P', 0.9194093194861018)","('S', 0.9330231733128589)","('H', 0.9428896760046377)","('Ş', 0.9251413761511291)","('N', 0.9371616442586661)","('M', 0.9675705351482039)","('G', 0.9119661020732011)","('Ü', 0.9023277651542938)","('O', 0.8937347780219651)","('A', 0.8924578770511736)","('Ğ', 0.8870180199842927)","('Ö', 0.8753165632712175)","('F', 0.8705525548950416)","('C', 0.8662589174406906)","('Ç', 0.8547644077971076)","('V', 0.8507093314220866)","('Z', 0.8431976807436672)","('Y', 0.7823596175698289)","('T', 0.7429328827121795)","('L', 0.7365995948088391)","('J', 0.6831366576429309)","('İ', 0.32135578617108895)","('I', 0.0)"
2,"('C', 1.0)","('Ç', 0.9992526062980958)","('O', 0.9833201444734185)","('G', 0.9652600985202683)","('S', 0.9629031738280415)","('V', 0.9864318981331023)","('Ş', 0.9709290234614257)","('Y', 0.9623431153243813)","('D', 0.9563218997861418)","('K', 0.964638494176774)","('A', 0.9621952902276587)","('R', 0.9359321499188252)","('Z', 0.9444329335646802)","('Ö', 0.9904332542694134)","('P', 0.920416061275941)","('M', 0.9332137688832566)","('Ğ', 0.9807118853569733)","('B', 0.9144435098868803)","('T', 0.9460355278840944)","('Ü', 0.9841566605569033)","('H', 0.9564861310509828)","('E', 0.9264385555411148)","('L', 0.9277843805763708)","('F', 0.930555491129786)","('N', 0.8973369961521434)","('J', 0.8605624861189654)","('İ', 0.40497714090013515)","('I', 0.0)"
3,"('Ç', 1.0)","('C', 0.9992700582425824)","('Ş', 0.9725939811721139)","('O', 0.9811372475136004)","('G', 0.9637170018786572)","('S', 0.9639743163214546)","('V', 0.9881773313092758)","('Y', 0.9689173295865965)","('Ö', 0.9894664070775746)","('D', 0.9512621031343438)","('K', 0.9628719151931368)","('A', 0.9606690186028584)","('R', 0.9327248806035066)","('Ü', 0.980732735023615)","('Ğ', 0.9792618756916027)","('Z', 0.9404072149709566)","('M', 0.9278104644031641)","('P', 0.9178286746396914)","('T', 0.9558350584421439)","('B', 0.9092597523256668)","('H', 0.9518349890627533)","('L', 0.9280046562382203)","('F', 0.9329875269773068)","('E', 0.9224672838516222)","('N', 0.8967916729670873)","('J', 0.860323230517984)","('İ', 0.4050235061121584)","('I', 0.0)"
4,"('D', 1.0)","('R', 0.9910736210708071)","('B', 0.9873134840872149)","('K', 0.9850036758779903)","('P', 0.9569244721057564)","('N', 0.9360953797050607)","('C', 0.9409708210615827)","('S', 0.9556007467010035)","('H', 0.9725156443886235)","('E', 0.9809437077879741)","('O', 0.9498889784510363)","('M', 0.9785482735438106)","('G', 0.9464789003145271)","('Ş', 0.9567383941272987)","('V', 0.9235153703954088)","('F', 0.9286774917638465)","('Ç', 0.9325579113536743)","('Ü', 0.9493997733556935)","('A', 0.9332462411440858)","('Ö', 0.9371486070699065)","('Ğ', 0.9360735877416062)","('Z', 0.8984046373975426)","('Y', 0.8736075635462568)","('T', 0.8378902487425499)","('L', 0.8312096754927232)","('J', 0.746154722300604)","('İ', 0.35004341726061317)","('I', 0.0)"
5,"('E', 1.0)","('B', 0.9726464978847951)","('F', 0.9404043658428928)","('P', 0.9519201229979385)","('D', 0.9795073965063684)","('R', 0.9650037723773471)","('S', 0.9029667504938724)","('K', 0.9613641178327836)","('H', 0.9038543322883245)","('Ş', 0.9039821820200252)","('M', 0.9199211377579872)","('Ü', 0.8937676638179306)","('C', 0.8930915620856413)","('Ç', 0.8846259975587143)","('N', 0.8760655141538077)","('G', 0.8754861952833934)","('O', 0.8726573280749903)","('Ö', 0.8668089895203208)","('Ğ', 0.8658736919978901)","('A', 0.8653014338925196)","('V', 0.8525924162456545)","('L', 0.8453364377759606)","('Z', 0.8412951618451437)","('Y', 0.8008714470702052)","('T', 0.7783464005898816)","('J', 0.6127068874014243)","('İ', 0.3560993178734736)","('I', 0.0)"
6,"('F', 1.0)","('P', 0.9799324612417026)","('E', 0.9551825395158238)","('B', 0.9094942559960795)","('T', 0.9068127720922243)","('R', 0.9409101154255581)","('K', 0.9460771055234003)","('D', 0.9423209445263034)","('Ş', 0.9163406506851403)","('C', 0.9241016307044532)","('Y', 0.9161411011974016)","('V', 0.9100602438110911)","('Ç', 0.9250086098116849)","('H', 0.8956605347344448)","('O', 0.8945124484766198)","('S', 0.8910706705952353)","('M', 0.889993400053565)","('Ö', 0.8891696433542927)","('Ü', 0.874879453923076)","('Ğ', 0.8669115954603487)","('Z', 0.8644057889452587)","('A', 0.8637528933921402)","('L', 0.8599197725642402)","('G', 0.8581727481067648)","('N', 0.8390360697902097)","('J', 0.6543857991361385)","('İ', 0.3510277438928312)","('I', 0.0)"
7,"('G', 1.0)","('O', 0.9843861105637427)","('C', 0.9631517346125534)","('Ç', 0.960594861586899)","('S', 0.9877770370253992)","('V', 0.968609052216455)","('A', 0.9858319885244747)","('Ğ', 0.99034551064821)","('Ş', 0.9772895873388657)","('R', 0.9515964211061734)","('D', 0.9579940808506523)","('K', 0.9707772389870853)","('M', 0.9691678321641033)","('Ö', 0.9829930986812607)","('Y', 0.9213470459467112)","('B', 0.9402653225144022)","('Z', 0.9013088008179542)","('N', 0.9634196609659441)","('H', 0.9798937745938312)","('E', 0.9091250396327379)","('Ü', 0.9868282054020161)","('T', 0.8808398907932646)","('P', 0.8803492024535853)","('J', 0.8736293593276199)","('F', 0.8623571616423571)","('L', 0.8528531523061599)","('İ', 0.3505567833318063)","('I', 0.0)"
8,"('Ğ', 1.0)","('Ö', 0.9966028085827596)","('G', 0.990834597047487)","('Ü', 0.9956775440551557)","('O', 0.9899745949043167)","('C', 0.9805777070628241)","('Ç', 0.9786183399775004)","('A', 0.9913647399869066)","('S', 0.9819699942811887)","('V', 0.983986062436579)","('Ş', 0.9802305208452036)","('Y', 0.9458550282599356)","('K', 0.9641399623764713)","('R', 0.9397180142882858)","('D', 0.9523691808505927)","('M', 0.9533250972121926)","('N', 0.9313419252453385)","('B', 0.9272206741670956)","('Z', 0.9416341524637066)","('H', 0.972122008516743)","('T', 0.9150347716554958)","('J', 0.9139573123512744)","('E', 0.9070684980566238)","('P', 0.8881830357532385)","('L', 0.8847729511658824)","('F', 0.8773813851165781)","('İ', 0.37878965781180785)","('I', 0.0)"
9,"('H', 1.0)","('N', 0.9573774937126182)","('P', 0.9337021285576992)","('K', 0.9760986947375371)","('D', 0.97747936232172)","('B', 0.9595423292318216)","('R', 0.9785220561345159)","('M', 0.9945563632974495)","('E', 0.926740135522114)","('S', 0.9688241242668889)","('C', 0.9518134508213273)","('O', 0.9870238007531713)","('Ü', 0.9654534083614146)","('Ş', 0.9705325875273081)","('G', 0.9790086578498614)","('V', 0.9639778578064877)","('Y', 0.9241869445233853)","('Ç', 0.945387631152484)","('Z', 0.9122038485077747)","('A', 0.9726685375122385)","('Ö', 0.9703277423792799)","('Ğ', 0.9693416423540036)","('F', 0.8942812063087323)","('T', 0.8709740169628891)","('J', 0.8413434384592217)","('L', 0.8024440709661583)","('İ', 0.3138834614935023)","('I', 0.0)"
