,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,"('E', 0.9998815606308131)","('B', 0.9756282014199978)","('F', 0.937243971880305)","('P', 0.951666287294051)","('D', 0.9809933307614372)","('R', 0.9673386233694973)","('S', 0.9040144346067118)","('K', 0.9616547796812536)","('H', 0.9064140875755432)","('Ş', 0.904603913662914)","('M', 0.9235309184136631)","('Ü', 0.8933830255731846)","('C', 0.8906654959260996)","('Ç', 0.8818250024347309)","('N', 0.8796872564616158)","('G', 0.8767016459761701)","('O', 0.8732063056409415)","('Ö', 0.8661337897033338)","('Ğ', 0.8658246151410083)","('A', 0.8658113997723813)","('V', 0.8512250267202579)","('Z', 0.8407911890229842)","('L', 0.8375140375683984)","('Y', 0.7981761829455623)","('T', 0.7743709139452648)","('J', 0.6136334686270919)","('İ', 0.35296061395776)","('I', 0.0)"
1,"('N', 0.9928107066786969)","('M', 0.9529018998444116)","('D', 0.9319707266151313)","('K', 0.9313529285787346)","('H', 0.923398671970712)","('R', 0.9486394797953174)","('B', 0.955002846745175)","('S', 0.9402751946220785)","('G', 0.9221792653053582)","('Ş', 0.914008479296081)","('E', 0.8957809647386106)","('O', 0.8715135398475273)","('A', 0.8702308897077077)","('Ü', 0.8681188552482679)","('Ğ', 0.8666531638580677)","('Ö', 0.8476174946418187)","('V', 0.8252059800068313)","('P', 0.8251335363463351)","('C', 0.8183209064298425)","('Ç', 0.811830685332277)","('F', 0.7869483397699526)","('Y', 0.757681020954033)","('Z', 0.72246472268584)","('T', 0.7000061866841362)","('L', 0.6644121961380507)","('J', 0.6441326458201609)","('İ', 0.2518442855998899)","('I', 0.0)"
2,"('G', 0.9979209264317419)","('O', 0.9743006594083357)","('C', 0.9457598771660987)","('Ç', 0.9422887368226303)","('S', 0.9878893508058194)","('V', 0.9522207621362389)","('A', 0.9795079259216195)","('R', 0.9532409076154029)","('D', 0.9571851847547095)","('Ş', 0.9734980992510364)","('Ğ', 0.9825358279553532)","('K', 0.9669596019569776)","('M', 0.971893105380007)","('B', 0.9474786726064783)","('Ö', 0.9708713356119419)","('N', 0.9722019004397001)","('Ü', 0.9791855366979626)","('E', 0.9068125142455108)","('H', 0.9772387240236683)","('Y', 0.8980126008943417)","('Z', 0.8874742628125116)","('P', 0.868223614834117)","('J', 0.8634101555336526)","('T', 0.8558811163233744)","('F', 0.8434533827152116)","('L', 0.8256829719362517)","('İ', 0.34307126054036896)","('I', 0.0)"
3,"('E', 0.9998815606308131)","('B', 0.9756282014199978)","('F', 0.937243971880305)","('P', 0.951666287294051)","('D', 0.9809933307614372)","('R', 0.9673386233694973)","('S', 0.9040144346067118)","('K', 0.9616547796812536)","('H', 0.9064140875755432)","('Ş', 0.904603913662914)","('M', 0.9235309184136631)","('Ü', 0.8933830255731846)","('C', 0.8906654959260996)","('Ç', 0.8818250024347309)","('N', 0.8796872564616158)","('G', 0.8767016459761701)","('O', 0.8732063056409415)","('Ö', 0.8661337897033338)","('Ğ', 0.8658246151410083)","('A', 0.8658113997723813)","('V', 0.8512250267202579)","('Z', 0.8407911890229842)","('L', 0.8375140375683984)","('Y', 0.7981761829455623)","('T', 0.7743709139452648)","('J', 0.6136334686270919)","('İ', 0.35296061395776)","('I', 0.0)"
4,"('V', 0.9985099603700215)","('A', 0.9836535202122277)","('Y', 0.9844484932778524)","('O', 0.9938924955883649)","('C', 0.9840233919276289)","('G', 0.97743936184047)","('K', 0.9739899130994316)","('S', 0.9770940516557189)","('R', 0.956966405898592)","('Ç', 0.9846143184234674)","('Ş', 0.9870327225391139)","('Z', 0.9398062433020018)","('M', 0.9598280766424185)","('D', 0.9586709660308581)","('P', 0.9341164475930761)","('B', 0.9285831884944604)","('Ö', 0.9932949090930787)","('N', 0.9298460206511971)","('T', 0.9537454155733148)","('E', 0.9185522333752968)","('H', 0.9789247747227683)","('Ğ', 0.9865711791551127)","('Ü', 0.9766633140940045)","('F', 0.9289775704995574)","('J', 0.883313679166132)","('L', 0.8715818069442138)","('İ', 0.35409675536885676)","('I', 0.0)"
5,"('E', 0.9998815606308131)","('B', 0.9756282014199978)","('F', 0.937243971880305)","('P', 0.951666287294051)","('D', 0.9809933307614372)","('R', 0.9673386233694973)","('S', 0.9040144346067118)","('K', 0.9616547796812536)","('H', 0.9064140875755432)","('Ş', 0.904603913662914)","('M', 0.9235309184136631)","('Ü', 0.8933830255731846)","('C', 0.8906654959260996)","('Ç', 0.8818250024347309)","('N', 0.8796872564616158)","('G', 0.8767016459761701)","('O', 0.8732063056409415)","('Ö', 0.8661337897033338)","('Ğ', 0.8658246151410083)","('A', 0.8658113997723813)","('V', 0.8512250267202579)","('Z', 0.8407911890229842)","('L', 0.8375140375683984)","('Y', 0.7981761829455623)","('T', 0.7743709139452648)","('J', 0.6136334686270919)","('İ', 0.35296061395776)","('I', 0.0)"
6,"('Z', 0.9977880810727263)","('V', 0.9103875036601163)","('D', 0.9176116197450007)","('A', 0.9079992857396786)","('C', 0.9213942660628297)","('Ş', 0.9104853318789031)","('O', 0.9247564843400475)","('Ç', 0.9132711438763609)","('H', 0.9104940570620884)","('J', 0.9078406505954525)","('Ö', 0.9274754383007358)","('Ü', 0.9257413289375656)","('Ğ', 0.9224054241243539)","('R', 0.8944062367405241)","('B', 0.893704626760522)","('M', 0.8925985386053013)","('P', 0.8903407296430766)","('S', 0.8879178089321685)","('K', 0.8852944609976088)","('G', 0.8838881215064596)","('T', 0.8791176116099542)","('E', 0.8782875354762881)","('Y', 0.8769070637786883)","('F', 0.8535359035741439)","('N', 0.7961459776547634)","('L', 0.788312248478805)","('İ', 0.4212710791101094)","('I', 0.0)"
7,"('E', 0.9998815606308131)","('B', 0.9756282014199978)","('F', 0.937243971880305)","('P', 0.951666287294051)","('D', 0.9809933307614372)","('R', 0.9673386233694973)","('S', 0.9040144346067118)","('K', 0.9616547796812536)","('H', 0.9064140875755432)","('Ş', 0.904603913662914)","('M', 0.9235309184136631)","('Ü', 0.8933830255731846)","('C', 0.8906654959260996)","('Ç', 0.8818250024347309)","('N', 0.8796872564616158)","('G', 0.8767016459761701)","('O', 0.8732063056409415)","('Ö', 0.8661337897033338)","('Ğ', 0.8658246151410083)","('A', 0.8658113997723813)","('V', 0.8512250267202579)","('Z', 0.8407911890229842)","('L', 0.8375140375683984)","('Y', 0.7981761829455623)","('T', 0.7743709139452648)","('J', 0.6136334686270919)","('İ', 0.35296061395776)","('I', 0.0)"
8,"('K', 0.9921746082151824)","('R', 0.9903779990695224)","('D', 0.9862685135346475)","('N', 0.9520410858254958)","('P', 0.9488168685908605)","('B', 0.9829698087700698)","('M', 0.967070071183017)","('S', 0.9557891030874139)","('V', 0.9099091542578587)","('H', 0.95590634544355)","('C', 0.9166951394695578)","('Ş', 0.9509713180410448)","('A', 0.9288782759301184)","('G', 0.9397541690433832)","('E', 0.9799606587362125)","('O', 0.9260224865978134)","('F', 0.9320658135701598)","('Ç', 0.9117415729801335)","('Ü', 0.928278841793437)","('Ğ', 0.9192397069899116)","('Ö', 0.915472044612707)","('Y', 0.8662568706034611)","('Z', 0.8412523490912236)","('L', 0.8341253540256724)","('T', 0.8195687633039582)","('J', 0.6903160639614331)","('İ', 0.31337922947814156)","('I', 0.0)"
9,"('D', 0.9794582213497292)","('N', 0.9565716665396351)","('H', 0.9877617858011519)","('K', 0.978592196317674)","('C', 0.9603152112826476)","('S', 0.977975364938261)","('R', 0.967661571579046)","('Ü', 0.9871721161585673)","('B', 0.9634335757463202)","('P', 0.9046095974233419)","('O', 0.9808117490319846)","('M', 0.9825057938464162)","('G', 0.9905394166591521)","('Ş', 0.9690331806849083)","('Ç', 0.9530178586776209)","('V', 0.9545559251779159)","('E', 0.9365433105440372)","('Z', 0.9120084001705975)","('A', 0.978534870348944)","('Ö', 0.9752589760012548)","('Ğ', 0.9820887452902225)","('Y', 0.8956451254581077)","('F', 0.8733016941854144)","('L', 0.8519138638140751)","('T', 0.8489359556041066)","('J', 0.8465356307743341)","('İ', 0.3513567781146877)","('I', 0.0)"
